time	V(triangle)
1.590246659721423e-003	9.413423e-004
1.590393281472180e-003	1.959819e-003
1.590482276144022e-003	2.499660e-003
1.590673897363962e-003	3.205923e-003
1.590807504653659e-003	3.738018e-003
1.590931544760400e-003	4.255867e-003
1.591121077617249e-003	5.042181e-003
1.591517619145841e-003	6.727759e-003
1.591552570775633e-003	6.870186e-003
1.591919148554626e-003	8.577158e-003
1.592000000000000e-003	8.971357e-003
1.592001162308308e-003	9.211207e-003
1.592003486924926e-003	9.700758e-003
1.592008136158162e-003	1.065123e-002
1.592016103777008e-003	1.203914e-002
1.592029420777116e-003	1.363636e-002
1.592042968513950e-003	1.447946e-002
1.592053772922800e-003	1.476825e-002
1.592067523041526e-003	1.504614e-002
1.592082242525411e-003	1.534994e-002
1.592102522714838e-003	1.557535e-002
1.592125279839514e-003	1.550470e-002
1.592150674483681e-003	1.522999e-002
1.592182962795345e-003	1.485844e-002
1.592223605759658e-003	1.448392e-002
1.592293537419041e-003	1.416931e-002
1.592366094989554e-003	1.423587e-002
1.592444295643539e-003	1.457183e-002
1.592543691582501e-003	1.507073e-002
1.592694955644358e-003	1.576396e-002
1.890310413004706e-003	1.282170e+000
1.894999999999999e-003	1.302126e+000
1.895022449786062e-003	1.304802e+000
1.895067349358187e-003	1.308132e+000
1.895090673453215e-003	1.308729e+000
1.895107247002583e-003	1.308756e+000
1.895131446402803e-003	1.308772e+000
1.895157520545143e-003	1.308604e+000
1.895185824527239e-003	1.308268e+000
1.895217544855403e-003	1.307951e+000
1.895253597276710e-003	1.307747e+000
1.895325702119323e-003	1.307702e+000
1.895469911804547e-003	1.308231e+000
1.895687562375117e-003	1.309320e+000
1.895895235589060e-003	1.310226e+000
1.896173097688039e-003	1.311445e+000
1.896471132675992e-003	1.312848e+000
1.897067202651898e-003	1.315022e+000
1.897290977896848e-003	1.315110e+000
1.897431825448130e-003	1.315137e+000
1.897542074680661e-003	1.315255e+000
1.897663637195866e-003	1.315244e+000
1.897833712688632e-003	1.315149e+000
1.898138157853556e-003	1.314619e+000
1.898322381844385e-003	1.313723e+000
1.898523631678920e-003	1.312480e+000
1.898656562234322e-003	1.311926e+000
1.898771936656902e-003	1.311522e+000
1.899034326652083e-003	1.310429e+000
1.899384326692639e-003	1.308962e+000
1.899829598616329e-003	1.306952e+000
1.900000000000001e-003	1.306141e+000
1.900001425101733e-003	1.305842e+000
1.900004275305199e-003	1.305238e+000
1.900009975712130e-003	1.304094e+000
1.900019031152047e-003	1.302613e+000
1.900032177156577e-003	1.301254e+000
1.900047933753644e-003	1.300491e+000
1.900060140483500e-003	1.300209e+000
1.900075792371472e-003	1.299885e+000
1.900092947720113e-003	1.299605e+000
1.900117124938571e-003	1.299548e+000
1.900142068705608e-003	1.299770e+000
1.900170919996771e-003	1.300113e+000
1.900203130019427e-003	1.300444e+000
1.900267550064737e-003	1.300829e+000
1.900367624478148e-003	1.300833e+000
1.900462929329964e-003	1.300449e+000
1.900566498652381e-003	1.299922e+000
1.900694021166244e-003	1.299339e+000
1.902094338344201e-003	1.293387e+000
1.903494655522158e-003	1.287434e+000
1.904894972700115e-003	1.281478e+000
1.906295289878072e-003	1.275521e+000
1.907695607056029e-003	1.269562e+000
1.909095924233986e-003	1.263602e+000
1.910496241411944e-003	1.257640e+000
2.209896750315750e-003	-1.636796e-002
2.212000000000000e-003	-2.532438e-002
2.212009755961652e-003	-2.701087e-002
2.212029267884955e-003	-2.957718e-002
2.212049210052277e-003	-3.098899e-002
2.212068733924882e-003	-3.151044e-002
2.212085475332817e-003	-3.178690e-002
2.212103143427475e-003	-3.201411e-002
2.212126337177267e-003	-3.203034e-002
2.212150916351291e-003	-3.180245e-002
2.212179711432687e-003	-3.148460e-002
2.212211840968020e-003	-3.119972e-002
2.212276100038687e-003	-3.091248e-002
2.212387191318607e-003	-3.104060e-002
2.212493372518829e-003	-3.153525e-002
2.212597467654650e-003	-3.208761e-002
2.213014070792286e-003	-3.393172e-002
2.213266539226473e-003	-3.507331e-002
2.213725663367519e-003	-3.731367e-002
2.214070412592913e-003	-3.840963e-002
2.214246419711142e-003	-3.825520e-002
2.214342786063056e-003	-3.823196e-002
2.214428606336775e-003	-3.838240e-002
2.214520565988785e-003	-3.844303e-002
2.214653348411109e-003	-3.843433e-002
2.214847941041070e-003	-3.832562e-002
2.215111371005944e-003	-3.794751e-002
2.215284992583392e-003	-3.715822e-002
2.215489427288482e-003	-3.583382e-002
2.215619194129820e-003	-3.524733e-002
2.215748784258639e-003	-3.480272e-002
2.216161428955260e-003	-3.308617e-002
2.216504328297616e-003	-3.164341e-002
2.216694455279947e-003	-3.076772e-002
2.217000000000000e-003	-2.933443e-002
2.217001899858703e-003	-2.893203e-002
2.217005699576110e-003	-2.814096e-002
2.217013299010924e-003	-2.673029e-002
2.217026080836506e-003	-2.496421e-002
2.217038425325219e-003	-2.400046e-002
2.217050124263464e-003	-2.361254e-002
2.217076819088396e-003	-2.307005e-002
2.217100907920573e-003	-2.274742e-002
2.217123353146637e-003	-2.277570e-002
2.217153765499863e-003	-2.310383e-002
2.217186628719827e-003	-2.348214e-002
2.217225471718400e-003	-2.382389e-002
2.217303157715546e-003	-2.412754e-002
2.217379274348723e-003	-2.401955e-002
2.217456291474393e-003	-2.366759e-002
2.217555258791715e-003	-2.317159e-002
2.217728603656287e-003	-2.238912e-002
2.515000000000000e-003	1.242552e+000
2.520000000000000e-003	1.263826e+000
2.520023953986263e-003	1.266574e+000
2.520071861958790e-003	1.269942e+000
2.520095232999486e-003	1.270477e+000
2.520112362602720e-003	1.270473e+000
2.520136908044233e-003	1.270452e+000
2.520163780810080e-003	1.270249e+000
2.520192904840922e-003	1.269903e+000
2.520227642552895e-003	1.269583e+000
2.520265317634459e-003	1.269402e+000
2.520335445344649e-003	1.269407e+000
2.520475700765029e-003	1.269965e+000
2.520700819604607e-003	1.271083e+000
2.520935111006458e-003	1.272099e+000
2.521221610499074e-003	1.273368e+000
2.521530168613412e-003	1.274803e+000
2.522147284842090e-003	1.276796e+000
2.522375001721413e-003	1.276747e+000
2.522500820555319e-003	1.276822e+000
2.522587894305973e-003	1.276973e+000
