time	V(vin)	V(vout)
8.342773437499968e-004	1.048177e-001	9.437999e-001
8.391601562499967e-004	7.226563e-002	9.379759e-001
8.440429687499966e-004	3.971354e-002	9.299216e-001
8.538085937499964e-004	-2.539063e-002	9.073550e-001
8.635742187499962e-004	-9.049479e-002	8.765744e-001
8.733398437499960e-004	-1.555990e-001	8.380610e-001
8.831054687499958e-004	-2.207031e-001	7.922943e-001
8.928710937499956e-004	-2.858073e-001	7.397456e-001
8.977539062499955e-004	-3.183594e-001	7.110720e-001
9.026367187499954e-004	-3.509115e-001	6.808738e-001
9.075195312499952e-004	-3.834635e-001	6.492057e-001
9.124023437499951e-004	-4.160156e-001	6.161214e-001
9.172851562499950e-004	-4.485677e-001	5.816733e-001
9.221679687499949e-004	-4.811198e-001	5.459125e-001
9.270507812499948e-004	-5.136719e-001	5.088887e-001
9.319335937499947e-004	-5.462239e-001	4.706506e-001
9.368164062499946e-004	-5.787761e-001	4.312451e-001
9.416992187499945e-004	-6.113281e-001	3.907180e-001
9.465820312499944e-004	-6.438802e-001	3.491137e-001
9.514648437499943e-004	-6.764323e-001	3.064752e-001
9.612304687499941e-004	-7.415364e-001	2.182610e-001
9.661132812499940e-004	-7.740886e-001	1.727644e-001
9.709960937499939e-004	-8.066406e-001	1.263922e-001
9.758789062499938e-004	-8.391927e-001	7.918075e-002
9.807617187499937e-004	-8.717448e-001	3.116499e-002
9.856445312499936e-004	-9.042969e-001	-1.762122e-002
9.905273437499935e-004	-9.368489e-001	-6.714532e-002
9.999999999999996e-004	-1.000000e+000	-1.650480e-001
1.001464843750000e-003	-9.902344e-001	-1.804455e-001
1.003417968749999e-003	-9.772136e-001	-2.010336e-001
1.007324218749999e-003	-9.511719e-001	-2.422500e-001
1.012207031249999e-003	-9.186198e-001	-2.936108e-001
1.017089843749999e-003	-8.860677e-001	-3.444820e-001
1.021972656249999e-003	-8.535156e-001	-3.944989e-001
1.026855468749999e-003	-8.209636e-001	-4.433388e-001
1.031738281249999e-003	-7.884114e-001	-4.907221e-001
1.036621093749999e-003	-7.558594e-001	-5.364088e-001
1.041503906249999e-003	-7.233073e-001	-5.801935e-001
1.046386718749999e-003	-6.907552e-001	-6.219032e-001
1.051269531249999e-003	-6.582031e-001	-6.613929e-001
1.056152343749998e-003	-6.256511e-001	-6.985438e-001
1.061035156249998e-003	-5.930989e-001	-7.332596e-001
1.065917968749998e-003	-5.605469e-001	-7.654650e-001
1.070800781249998e-003	-5.279948e-001	-7.951028e-001
1.075683593749998e-003	-4.954427e-001	-8.221323e-001
1.085449218749998e-003	-4.303385e-001	-8.682750e-001
1.095214843749998e-003	-3.652344e-001	-9.038297e-001
1.104980468749997e-003	-3.001302e-001	-9.288943e-001
1.114746093749997e-003	-2.350260e-001	-9.436905e-001
1.119628906249997e-003	-2.024740e-001	-9.473331e-001
1.124511718749997e-003	-1.699219e-001	-9.485320e-001
1.129394531249997e-003	-1.373698e-001	-9.473368e-001
1.134277343749997e-003	-1.048177e-001	-9.437999e-001
1.139160156249997e-003	-7.226563e-002	-9.379759e-001
1.144042968749997e-003	-3.971354e-002	-9.299216e-001
1.153808593749996e-003	2.539063e-002	-9.073550e-001
1.163574218749996e-003	9.049479e-002	-8.765744e-001
1.173339843749996e-003	1.555990e-001	-8.380610e-001
1.183105468749996e-003	2.207031e-001	-7.922943e-001
1.192871093749996e-003	2.858073e-001	-7.397456e-001
1.197753906249995e-003	3.183594e-001	-7.110720e-001
1.202636718749995e-003	3.509115e-001	-6.808738e-001
1.207519531249995e-003	3.834635e-001	-6.492057e-001
1.212402343749995e-003	4.160156e-001	-6.161214e-001
1.217285156249995e-003	4.485677e-001	-5.816733e-001
1.222167968749995e-003	4.811198e-001	-5.459125e-001
1.227050781249995e-003	5.136719e-001	-5.088887e-001
1.231933593749995e-003	5.462239e-001	-4.706506e-001
1.236816406249995e-003	5.787761e-001	-4.312451e-001
1.241699218749994e-003	6.113281e-001	-3.907180e-001
1.246582031249994e-003	6.438802e-001	-3.491137e-001
1.251464843749994e-003	6.764323e-001	-3.064752e-001
1.261230468749994e-003	7.415364e-001	-2.182610e-001
1.266113281249994e-003	7.740886e-001	-1.727644e-001
1.270996093749994e-003	8.066406e-001	-1.263922e-001
1.275878906249994e-003	8.391927e-001	-7.918075e-002
1.280761718749994e-003	8.717448e-001	-3.116499e-002
1.285644531249994e-003	9.042969e-001	1.762122e-002
1.290527343749993e-003	9.368489e-001	6.714532e-002
1.300000000000000e-003	1.000000e+000	1.650480e-001
1.301464843750000e-003	9.902344e-001	1.804455e-001
1.303417968749999e-003	9.772136e-001	2.010336e-001
1.307324218749999e-003	9.511719e-001	2.422500e-001
1.312207031249999e-003	9.186198e-001	2.936108e-001
1.317089843749999e-003	8.860677e-001	3.444820e-001
1.321972656249999e-003	8.535156e-001	3.944989e-001
1.326855468749999e-003	8.209636e-001	4.433388e-001
1.331738281249999e-003	7.884114e-001	4.907221e-001
1.336621093749999e-003	7.558594e-001	5.364088e-001
1.341503906249999e-003	7.233073e-001	5.801935e-001
1.346386718749999e-003	6.907552e-001	6.219032e-001
1.351269531249998e-003	6.582031e-001	6.613929e-001
1.356152343749998e-003	6.256511e-001	6.985438e-001
1.361035156249998e-003	5.930989e-001	7.332596e-001
1.365917968749998e-003	5.605469e-001	7.654650e-001
1.370800781249998e-003	5.279948e-001	7.951028e-001
1.375683593749998e-003	4.954427e-001	8.221323e-001
1.385449218749998e-003	4.303385e-001	8.682750e-001
1.395214843749998e-003	3.652344e-001	9.038297e-001
1.404980468749997e-003	3.001302e-001	9.288943e-001
1.414746093749997e-003	2.350260e-001	9.436905e-001
1.419628906249997e-003	2.024740e-001	9.473331e-001
1.424511718749997e-003	1.699219e-001	9.485320e-001
1.429394531249997e-003	1.373698e-001	9.473368e-001
1.434277343749997e-003	1.048177e-001	9.437999e-001
1.439160156249997e-003	7.226563e-002	9.379759e-001
1.444042968749996e-003	3.971354e-002	9.299216e-001
1.453808593749996e-003	-2.539063e-002	9.073550e-001
1.463574218749996e-003	-9.049479e-002	8.765744e-001
1.473339843749996e-003	-1.555990e-001	8.380610e-001
1.483105468749996e-003	-2.207031e-001	7.922943e-001
1.492871093749995e-003	-2.858073e-001	7.397456e-001
1.497753906249995e-003	-3.183594e-001	7.110720e-001
1.502636718749995e-003	-3.509115e-001	6.808738e-001
1.507519531249995e-003	-3.834635e-001	6.492057e-001
1.512402343749995e-003	-4.160156e-001	6.161214e-001
1.517285156249995e-003	-4.485677e-001	5.816733e-001
1.522167968749995e-003	-4.811198e-001	5.459125e-001
1.527050781249995e-003	-5.136719e-001	5.088887e-001
1.531933593749995e-003	-5.462239e-001	4.706506e-001
1.536816406249995e-003	-5.787761e-001	4.312451e-001
1.541699218749994e-003	-6.113281e-001	3.907180e-001
1.546582031249994e-003	-6.438802e-001	3.491137e-001
1.551464843749994e-003	-6.764323e-001	3.064752e-001
1.561230468749994e-003	-7.415364e-001	2.182610e-001
1.566113281249994e-003	-7.740886e-001	1.727644e-001
1.570996093749994e-003	-8.066406e-001	1.263922e-001
1.575878906249994e-003	-8.391927e-001	7.918075e-002
1.580761718749994e-003	-8.717448e-001	3.116499e-002
1.585644531249993e-003	-9.042969e-001	-1.762122e-002
1.590527343749993e-003	-9.368489e-001	-6.714532e-002
1.599999999999999e-003	-1.000000e+000	-1.650480e-001
1.601464843750000e-003	-9.902344e-001	-1.804455e-001
1.603417968749999e-003	-9.772136e-001	-2.010336e-001
1.607324218749999e-003	-9.511719e-001	-2.422500e-001
