time	V(iterative)	V(recursive)
3.110172437691747e-002	-1.984142e-001	1.254355e-001
3.115055250191747e-002	-1.900821e-001	1.403521e-001
3.119938062691747e-002	-1.809406e-001	1.552068e-001
3.124820875191747e-002	-1.711659e-001	1.698150e-001
3.129703687691747e-002	-1.609383e-001	1.839905e-001
3.134586500191747e-002	-1.504400e-001	1.975483e-001
3.139469312691746e-002	-1.398520e-001	2.103077e-001
3.144352125191746e-002	-1.293514e-001	2.220946e-001
3.149234937691746e-002	-1.191088e-001	2.327445e-001
3.154117750191746e-002	-1.092859e-001	2.421048e-001
3.159000562691745e-002	-1.000327e-001	2.500372e-001
3.163883375191745e-002	-9.148586e-002	2.564197e-001
3.168766187691745e-002	-8.376624e-002	2.611488e-001
3.173649000191745e-002	-7.697748e-002	2.641408e-001
3.178531812691744e-002	-7.120439e-002	2.653335e-001
3.183414625191744e-002	-6.647504e-002	2.647474e-001
3.187665636528487e-002	-6.325135e-002	2.627583e-001
3.191519708728108e-002	-6.115675e-002	2.596169e-001
3.196402521228108e-002	-5.955680e-002	2.539637e-001
3.201285333728107e-002	-5.903417e-002	2.466221e-001
3.206168146228107e-002	-5.961600e-002	2.375639e-001
3.211050958728107e-002	-6.124825e-002	2.268800e-001
3.215933771228106e-002	-6.385759e-002	2.146823e-001
3.220816583728106e-002	-6.735269e-002	2.011023e-001
3.225699396228106e-002	-7.162583e-002	1.862890e-001
3.230582208728106e-002	-7.655479e-002	1.704074e-001
3.235465021228105e-002	-8.200486e-002	1.536359e-001
3.240347833728105e-002	-8.783117e-002	1.361636e-001
3.245230646228105e-002	-9.388108e-002	1.181886e-001
3.254996271228104e-002	-1.060178e-001	8.154709e-002
3.259879083728104e-002	-1.117838e-001	6.329359e-002
3.264761896228104e-002	-1.171374e-001	4.535751e-002
3.269644708728103e-002	-1.219263e-001	2.793700e-002
3.274527521228103e-002	-1.260063e-001	1.122191e-002
3.279410333728103e-002	-1.292437e-001	-4.608789e-003
3.284293146228103e-002	-1.315172e-001	-1.938948e-002
3.289175958728102e-002	-1.327204e-001	-3.297010e-002
3.294058771228102e-002	-1.327634e-001	-4.521820e-002
3.298941583728102e-002	-1.315745e-001	-5.602061e-002
3.303824396228101e-002	-1.291014e-001	-6.528501e-002
3.308707208728101e-002	-1.253124e-001	-7.294102e-002
3.313590021228101e-002	-1.202270e-001	-7.897976e-002
3.318024816100877e-002	-1.144400e-001	-8.297335e-002
3.322907628600877e-002	-1.068121e-001	-8.572689e-002
3.327790441100877e-002	-9.797927e-002	-8.685751e-002
3.332673253600876e-002	-8.798435e-002	-8.636960e-002
