time	V(triangle)	V(vin)
3.337390320623471e-004	-3.474803e-001	1.000000e+000
3.370000000000005e-004	-3.532085e-001	1.000000e+000
3.370220380599712e-004	-3.549524e-001	9.911848e-001
3.370661141799142e-004	-3.571227e-001	9.735543e-001
3.370985553542948e-004	-3.576914e-001	9.605778e-001
3.371198727993088e-004	-3.577188e-001	9.520509e-001
3.371512117829028e-004	-3.576232e-001	9.395153e-001
3.372020686100499e-004	-3.572534e-001	9.191726e-001
3.372509491233067e-004	-3.569185e-001	8.996204e-001
3.373004819482491e-004	-3.567607e-001	8.798072e-001
3.373880769319652e-004	-3.567714e-001	8.447692e-001
3.374783307083604e-004	-3.569686e-001	8.086677e-001
3.376988096210291e-004	-3.575194e-001	7.204762e-001
3.379355806078718e-004	-3.580055e-001	6.257678e-001
3.383517660696233e-004	-3.586031e-001	4.592936e-001
3.386764870631515e-004	-3.587658e-001	3.294052e-001
3.389451754506143e-004	-3.588264e-001	2.219298e-001
3.392231070404161e-004	-3.588433e-001	1.107572e-001
3.395138047148430e-004	-3.587523e-001	-5.521886e-003
3.399282773568681e-004	-3.584837e-001	-1.713109e-001
3.407319936987556e-004	-3.574147e-001	-4.927975e-001
3.413192397819786e-004	-3.560301e-001	-7.276959e-001
3.413792918148285e-004	-3.558529e-001	-7.517167e-001
3.414993958805283e-004	-3.555311e-001	-7.997584e-001
3.417450067943646e-004	-3.548739e-001	-8.980027e-001
3.420000000000003e-004	-3.540995e-001	-1.000000e+000
3.420026268496149e-004	-3.537517e-001	-1.000000e+000
3.420078805488440e-004	-3.530808e-001	-1.000000e+000
3.420183879473005e-004	-3.519386e-001	-1.000000e+000
3.420319693630772e-004	-3.509565e-001	-1.000000e+000
3.420516692363897e-004	-3.502383e-001	-1.000000e+000
3.420671313792822e-004	-3.499487e-001	-1.000000e+000
3.420878764930149e-004	-3.496824e-001	-1.000000e+000
3.421114950449000e-004	-3.495557e-001	-1.000000e+000
3.421467058173158e-004	-3.496996e-001	-1.000000e+000
3.421792547862526e-004	-3.499593e-001	-1.000000e+000
3.422223348800400e-004	-3.502726e-001	-1.000000e+000
3.422867526879821e-004	-3.505132e-001	-1.000000e+000
3.424155883038661e-004	-3.504594e-001	-1.000000e+000
3.425307767150401e-004	-3.501495e-001	-1.000000e+000
3.426566758258087e-004	-3.497737e-001	-1.000000e+000
3.641306098524614e-004	-2.968251e-001	-1.000000e+000
3.856045438791141e-004	-2.449963e-001	-1.000000e+000
4.070784779057668e-004	-1.942871e-001	-1.000000e+000
4.285524119324195e-004	-1.446977e-001	-1.000000e+000
4.500263459590721e-004	-9.622793e-002	-1.000000e+000
4.715002799857248e-004	-4.887792e-002	-1.000000e+000
4.929742140123775e-004	-2.647623e-003	-1.000000e+000
5.076226515123780e-004	2.831834e-002	-1.000000e+000
5.222710890123786e-004	5.880550e-002	-1.000000e+000
5.369195265123791e-004	8.882124e-002	-1.000000e+000
5.662164015123802e-004	1.474676e-001	-1.000000e+000
5.955132765123813e-004	2.043142e-001	-1.000000e+000
6.422126137027931e-004	2.914448e-001	-1.000000e+000
6.449999999999997e-004	2.965008e-001	-1.000000e+000
6.450186703371146e-004	2.981175e-001	-9.925318e-001
6.450560110113426e-004	3.001837e-001	-9.775956e-001
